probability,is_first_visit
0.8334162018748997,True
0.8017469096877093,True
0.8301033564123349,True
0.8581600364468523,True
0.8459976198806878,False
0.8639254032124618,True
0.8225704170395876,True
0.8064862695913948,True
0.8303679077592108,True
0.8296774379193053,True
0.83932601333014,True
0.8531966737743121,True
0.814401841828245,False
0.8530411317370099,True
0.8696704568498465,True
0.8539928509879646,True
0.7907708014950076,True
0.8124934297658448,True
0.8152295348695904,False
0.8652512548992265,True
0.8409080130219473,True
0.8089942140260764,True
0.8080454709849099,True
0.8247258903312823,True
0.865622753255296,True
0.8301671930286192,False
0.8222442848104362,True
0.7989630750239962,True
0.8406353236696364,True
0.8142984142852937,True
0.8449729466453018,True
0.7919303972915912,True
0.7897216151301634,True
0.7995419185856216,True
0.8225802869692809,True
0.8204143616342913,True
0.811256704883749,True
0.7906636828526697,True
0.8449818790657463,True
0.8161381586579025,True
0.8372171963608903,True
0.83852159710633,True
0.8288378706000556,True
0.8368908308473733,True
0.8590635787122957,True
0.8211440735047952,False
0.8511430266664295,True
0.8704474020408232,True
0.8168050046487805,True
0.7920066270291076,False
0.798922500410394,False
0.7983519732390965,True
0.8821950423938553,True
0.885531343793927,True
0.8271360198639344,True
0.8235275262607067,True
0.89023312221906,True
0.7732918563170025,True
0.8177974518164856,True
0.8090092968874286,True
0.863699433815998,True
0.8255757045988127,True
0.8539301119395731,True
0.8907119147363368,True
0.825245311626113,True
0.8057423683303337,True
0.8130670992214287,False
0.8691688900386288,True
0.8416295799568789,True
0.8225056955181967,True
0.8420653623373041,True
0.7794555299290759,True
0.8268486716844002,True
0.8287298811319792,True
0.8320759989879475,True
0.8234328237272714,True
0.831473842955197,True
0.8520888521432156,True
0.8452672654189832,True
0.7606803293884987,True
0.8215865897166543,True
